AlertID,CardHolderId,CardNumber,ExpirationDate,TransactionID,TransactionChannel,AmountUSD,MerchantName,EmailID,Location,IP,FraudAlertReason,RiskScore,Status
AL4212,ST545,xxxx-xxxx-xxxx-5454,10/2029,WRL359,Subscription,34.56,Jaguar Land Rover,bcdefghijk@domain.co.uk,"Coventry, UK",185.220.100.240,No shopping history,46,Closed
AL4213,UV767,xxxx-xxxx-xxxx-7676,04/2031,RBT858,Telephone,15000,Next Plc,lmnopqrstu@example.com,"Liverpool, UK",185.220.101.7,High amount,81,Investigating
AL4214,WX989,xxxx-xxxx-xxxx-9898,11/2024,KSQ085,In store,4.56,Marks & Spencer,vwxyzabcdef@test.org,"London, UK",192.42.116.198,Incorrect expiration dates,20,Dismissed
AL4215,YZ000,xxxx-xxxx-xxxx-0000,06/2030,MFR525,POS,0,JD Sports,ghijklmnopqrst@mail.net,"Milan, Italy",72.217.36.105,Suspicious zero amount attempt,94,Escalated
AL4216,AB222,xxxx-xxxx-xxxx-2222,01/2034,CKV973,ATM,89.01,Greggs,uvwxyzabcdefg@web.info,"Edinburgh, UK",107.189.8.56,Abnormal spending pattern,63,Under Review
AL4217,CD444,xxxx-xxxx-xxxx-4444,08/2027,FTH143,Wallet,16000,Whitbread,hijklmnopqrs@domain.co.uk,"Bristol, UK",104.135.196.55,High amount,88,Resolved
AL4218,EF666,xxxx-xxxx-xxxx-6666,02/2025,CKV870,Online,6.78,WPP,tuvwxyza@example.com,"Sydney, Australia",104.248.169.251,Low value foreign,17,Fraud Detected
AL4219,GH888,xxxx-xxxx-xxxx-8888,09/2033,KLT462,Subscription,0,Sage Group,bcdefghijk@test.org,"Sheffield, UK",134.238.184.178,Suspicious zero amount attempt,91,Escalated
AL4220,IJ000,xxxx-xxxx-xxxx-0000,04/2030,AQF922,Telephone,234.56,Experian,lmnopqrstu@mail.net,"Birmingham, UK",136.226.102.90,No shopping history,41,Closed
AL4221,KL111,xxxx-xxxx-xxxx-1111,11/2028,ODI439,In store,18000,Persimmon,vwxyzabcdef@web.info,"Nottingham, UK",185.220.100.240,High amount,85,Action Required
AL4222,MN222,xxxx-xxxx-xxxx-2222,05/2031,FLH799,POS,9.87,Taylor Wimpey,ghijklmnopqrst@domain.co.uk,"Rome, Italy",185.220.101.7,Low value foreign,14,Fraud Detected
AL4223,OP333,xxxx-xxxx-xxxx-3333,12/2023,YHI231,ATM,0,Barratt Developments,uvwxyzabcdefg@example.com,"Newcastle, UK",192.42.116.198,Suspicious zero amount attempt,96,Escalated
AL4224,QR444,xxxx-xxxx-xxxx-4444,07/2029,VCJ887,Wallet,34.56,Kingfisher Plc,hijklmnopqrs@test.org,"Coventry, UK",72.217.36.105,Abnormal spending pattern,64,Investigating
AL4225,ST555,xxxx-xxxx-xxxx-5555,01/2033,ZXV694,Online,19000,Standard Chartered,tuvwxyza@mail.net,"Liverpool, UK",107.189.8.56,High amount,80,Resolved
AL4226,UV666,xxxx-xxxx-xxxx-6666,08/2027,WLD422,Subscription,1.23,NatWest Group,bcdefghijk@web.info,"Lagos, Nigeria",104.135.196.55,Foreign location,10,Fraud Detected
AL4227,WX777,xxxx-xxxx-xxxx-7777,02/2030,BNR609,Telephone,0,Legal & General,lmnopqrstu@domain.co.uk,"London, UK",104.248.169.251,Suspicious zero amount attempt,93,Escalated
AL4228,YZ888,xxxx-xxxx-xxxx-8888,09/2025,LJH005,In store,567.89,Prudential Plc,vwxyzabcdef@example.com,"Edinburgh, UK",134.238.184.178,Compromised card,59,Under Review
AL4229,AB999,xxxx-xxxx-xxxx-9999,04/2024,JEL677,POS,12000,Aviva,ghijklmnopqrst@test.org,"Bristol, UK",136.226.102.90,High amount,89,Action Required
AL4230,CD000,xxxx-xxxx-xxxx-0000,11/2031,TVE392,ATM,6.78,RSA Insurance Group,uvwxyzabcdefg@mail.net,"Milan, Italy",185.220.100.240,Low value foreign,18,Fraud Detected
AL4231,EF111,xxxx-xxxx-xxxx-1111,05/2030,MDD143,Wallet,0,Centrica,hijklmnopqrs@web.info,"Sheffield, UK",185.220.101.7,Suspicious zero amount attempt,97,Escalated
AL4232,GH222,xxxx-xxxx-xxxx-2222,12/2028,NDC295,Online,34.56,SSE,tuvwxyza@domain.co.uk,"Birmingham, UK",192.42.116.198,No shopping history,43,Cleared
AL4233,IJ333,xxxx-xxxx-xxxx-3333,07/2027,PYA293,Subscription,14000,National Express,bcdefghijk@example.com,"Nottingham, UK",72.217.36.105,High amount,82,Investigating
AL4234,KL444,xxxx-xxxx-xxxx-4444,01/2032,XXP394,Telephone,1.23,Go-Ahead Group,lmnopqrstu@test.org,"Accra, Ghana",107.189.8.56,Foreign location,10,Fraud Detected
AL4235,MN555,xxxx-xxxx-xxxx-5555,08/2026,ULI470,In store,0,Stagecoach Group,vwxyzabcdef@mail.net,"Newcastle, UK",104.135.196.55,Suspicious zero amount attempt,92,Escalated
AL4236,OP666,xxxx-xxxx-xxxx-6666,03/2035,IIK607,POS,567.89,FirstGroup,ghijklmnopqrst@web.info,"Coventry, UK",104.248.169.251,Abnormal spending pattern,61,Under Review
AL4237,QR777,xxxx-xxxx-xxxx-7777,10/2029,BRO033,ATM,16000,SSP Group,uvwxyzabcdefg@domain.co.uk,"Liverpool, UK",134.238.184.178,High amount,85,Action Required
AL4238,ST888,xxxx-xxxx-xxxx-8888,04/2031,BFD416,Wallet,9.87,Mitchells & Butlers,hijklmnopqrs@example.com,"Rome, Italy",136.226.102.90,Low value foreign,12,Fraud Detected
AL4239,UV999,xxxx-xxxx-xxxx-9999,11/2024,QAB719,Online,0,Domino's Pizza Group,tuvwxyza@test.org,"London, UK",185.220.100.240,Suspicious zero amount attempt,95,Escalated
AL4240,WX000,xxxx-xxxx-xxxx-0000,06/2030,UAV828,Subscription,234.56,Just Eat Takeaway,bcdefghijk@mail.net,"Edinburgh, UK",185.220.101.7,Compromised card,50,Investigating
AL4241,YZ111,xxxx-xxxx-xxxx-1111,01/2034,AQH117,Telephone,18000,Deliveroo,lmnopqrstu@web.info,"Bristol, UK",192.42.116.198,High amount,87,Resolved
AL4242,AB234,xxxx-xxxx-xxxx-2345,08/2027,NYO451,In store,1.23,Ocado Group,vwxyzabcdef@domain.co.uk,"Sydney, Australia",72.217.36.105,Low value foreign,10,Fraud Detected
AL4243,CD567,xxxx-xxxx-xxxx-5678,02/2030,VSR467,POS,0,ASOS,ghijklmnopqrst@example.com,"Sheffield, UK",107.189.8.56,Suspicious zero amount attempt,91,Escalated
AL4244,EF890,xxxx-xxxx-xxxx-8901,09/2025,JAO856,ATM,567.89,Boohoo Group,uvwxyzabcdefg@test.org,"Birmingham, UK",104.135.196.55,No shopping history,38,Cleared
AL4245,GH123,xxxx-xxxx-xxxx-1234,04/2024,XGS139,Wallet,19000,Hargreaves Lansdown,hijklmnopqrs@mail.net,"Nottingham, UK",104.248.169.251,High amount,84,Action Required
AL4246,IJ456,xxxx-xxxx-xxxx-4567,11/2031,YAT070,Online,6.78,Abrdn,tuvwxyza@web.info,"Rome, Italy",134.238.184.178,Low value foreign,19,Fraud Detected
AL4247,KL789,xxxx-xxxx-xxxx-7890,05/2030,FSM762,Subscription,0,M&G Plc,bcdefghijk@domain.co.uk,"Newcastle, UK",136.226.102.90,Suspicious zero amount attempt,96,Escalated
AL4248,MN012,xxxx-xxxx-xxxx-0123,12/2028,JVH619,Telephone,34.56,Phoenix Group Holdings,lmnopqrstu@example.com,"Coventry, UK",185.220.100.240,Abnormal spending pattern,60,Investigating
AL4249,OP345,xxxx-xxxx-xxxx-3456,07/2027,XBA908,In store,14000,Intermediate Capital Group,vwxyzabcdef@test.org,"Liverpool, UK",185.220.101.7,High amount,83,Under Review
AL4250,QR678,xxxx-xxxx-xxxx-6789,01/2032,KYH790,POS,1.23,Schroders,ghijklmnopqrst@mail.net,"Lagos, Nigeria",192.42.116.198,Foreign location,11,Fraud Detected
AL4251,ST901,xxxx-xxxx-xxxx-9012,08/2026,NFR918,ATM,0,F&C Investment Trust,uvwxyzabcdefg@web.info,"London, UK",72.217.36.105,Suspicious zero amount attempt,94,Escalated
AL4252,UV234,xxxx-xxxx-xxxx-2345,03/2035,KAB973,Wallet,567.89,Scottish Mortgage Investment Trust,hijklmnopqrs@domain.co.uk,"Edinburgh, UK",107.189.8.56,Compromised card,52,Investigating
AL4253,WX567,xxxx-xxxx-xxxx-5678,10/2029,FAA867,Online,16000,Alliance Trust,tuvwxyza@example.com,"Bristol, UK",104.135.196.55,High amount,89,Action Required
AL4254,YZ890,xxxx-xxxx-xxxx-8901,04/2031,PIE868,Subscription,9.87,Tesco,bcdefghijk@test.org,"Milan, Italy",104.248.169.251,Low value foreign,12,Fraud Detected
AL4255,AB111,xxxx-xxxx-xxxx-1111,11/2024,NXX732,Telephone,0,Sainsbury's,lmnopqrstu@mail.net,"Sheffield, UK",134.238.184.178,Suspicious zero amount attempt,95,Escalated
AL4256,CD222,xxxx-xxxx-xxxx-2222,06/2030,BPF344,In store,234.56,Barclays,vwxyzabcdef@web.info,"Birmingham, UK",136.226.102.90,Abnormal spending pattern,61,Under Review
AL4257,EF333,xxxx-xxxx-xxxx-3333,01/2034,YDD410,POS,18000,Lloyds Bank,ghijklmnopqrst@domain.co.uk,"Nottingham, UK",185.220.100.240,High amount,86,Resolved
AL4258,GH444,xxxx-xxxx-xxxx-4444,08/2027,VUP712,ATM,1.23,HSBC,uvwxyzabcdefg@example.com,"Adelaide, Australia",185.220.101.7,Foreign IP,10,Fraud Detected
AL4259,IJ555,xxxx-xxxx-xxxx-5555,03/2030,XXK760,Wallet,0,BT Group,hijklmnopqrs@test.org,"Newcastle, UK",192.42.116.198,Suspicious zero amount attempt,93,Escalated
AL4260,KL666,xxxx-xxxx-xxxx-6666,10/2029,IIJ264,Online,567.89,Vodafone,tuvwxyza@mail.net,"Coventry, UK",72.217.36.105,No shopping history,40,Closed
AL4261,MN777,xxxx-xxxx-xxxx-7777,04/2031,QZM079,Subscription,19000,BP,bcdefghijk@web.info,"Liverpool, UK",107.189.8.56,High amount,87,Action Required
AL4262,OP888,xxxx-xxxx-xxxx-8888,11/2024,PEV228,Telephone,9.87,Shell,lmnopqrstu@domain.co.uk,"Rome, Italy",104.135.196.55,Low value foreign,19,Fraud Detected
AL4263,QR999,xxxx-xxxx-xxxx-9999,06/2030,RTD795,In store,0,Unilever,vwxyzabcdef@example.com,"London, UK",104.248.169.251,Suspicious zero amount attempt,98,Escalated
AL4264,ST000,xxxx-xxxx-xxxx-0000,01/2034,CZH995,POS,234.56,GlaxoSmithKline,ghijklmnopqrst@test.org,"Edinburgh, UK",134.238.184.178,Abnormal spending pattern,65,Investigating
AL4265,UV121,xxxx-xxxx-xxxx-1212,08/2027,GUJ045,ATM,14000,AstraZeneca,uvwxyzabcdefg@mail.net,"Bristol, UK",136.226.102.90,High amount,81,Under Review
AL4266,WX343,xxxx-xxxx-xxxx-3434,03/2030,OKW974,Wallet,1.23,Rio Tinto,hijklmnopqrs@web.info,"Sydney, Australia",185.220.100.240,Foreign location,11,Fraud Detected
AL4267,YZ565,xxxx-xxxx-xxxx-5656,10/2029,RSC054,Online,0,BHP Group,tuvwxyza@domain.co.uk,"Sheffield, UK",185.220.101.7,Suspicious zero amount attempt,92,Escalated
AL4268,AB787,xxxx-xxxx-xxxx-7878,05/2031,TWV912,Subscription,567.89,Diageo,bcdefghijk@example.com,"Birmingham, UK",192.42.116.198,Compromised card,53,Under Review
AL4269,CD909,xxxx-xxxx-xxxx-9090,12/2023,LSF563,Telephone,16000,Reckitt Benckiser,lmnopqrstu@test.org,"Nottingham, UK",72.217.36.105,High amount,86,Action Required
AL4270,EF131,xxxx-xxxx-xxxx-1313,07/2029,NHP770,In store,9.87,London Stock Exchange,vwxyzabcdef@mail.net,"Rome, Italy",107.189.8.56,Low value foreign,14,Fraud Detected
AL4271,GH353,xxxx-xxxx-xxxx-3535,01/2033,JUB142,POS,0,National Grid,ghijklmnopqrst@web.info,"Newcastle, UK",104.135.196.55,Suspicious zero amount attempt,90,Escalated
AL4272,IJ575,xxxx-xxxx-xxxx-5757,08/2027,XRT886,ATM,34.56,Severn Trent,uvwxyzabcdefg@domain.co.uk,"Coventry, UK",104.248.169.251,Abnormal spending pattern,60,Investigating
AL4273,KL797,xxxx-xxxx-xxxx-7979,03/2030,AHN569,Wallet,17000,United Utilities,hijklmnopqrs@example.com,"Liverpool, UK",134.238.184.178,High amount,85,Resolved
AL4274,MN919,xxxx-xxxx-xxxx-9191,10/2029,BCE010,Online,1.23,Rolls-Royce,tuvwxyza@test.org,"Lagos, Nigeria",136.226.102.90,Foreign location,10,Fraud Detected
AL4275,OP101,xxxx-xxxx-xxxx-1010,05/2031,PGE542,Subscription,0,BAE Systems,bcdefghijk@mail.net,"London, UK",185.220.100.240,Suspicious zero amount attempt,97,Escalated
AL4276,QR323,xxxx-xxxx-xxxx-3232,12/2023,OWD261,Telephone,567.89,ITV,lmnopqrstu@web.info,"Edinburgh, UK",185.220.101.7,Compromised card,51,Investigating
AL4277,ST545,xxxx-xxxx-xxxx-5454,07/2029,GPV589,In store,19000,BBC Studios,vwxyzabcdef@domain.co.uk,"Bristol, UK",192.42.116.198,High amount,84,Action Required
AL4278,UV767,xxxx-xxxx-xxxx-7676,01/2033,PGG756,POS,9.87,Royal Mail,ghijklmnopqrst@example.com,"Rome, Italy",72.217.36.105,Low value foreign,12,Fraud Detected
AL4279,WX989,xxxx-xxxx-xxxx-9898,08/2027,ISR601,ATM,0,EasyJet,uvwxyzabcdefg@test.org,"Sheffield, UK",107.189.8.56,Suspicious zero amount attempt,91,Escalated
AL4280,YZ000,xxxx-xxxx-xxxx-0000,03/2030,QPJ975,Wallet,34.56,Ryanair,hijklmnopqrs@mail.net,"Birmingham, UK",104.135.196.55,No shopping history,39,Cleared
AL4281,AB222,xxxx-xxxx-xxxx-2222,10/2029,OGL712,Online,14000,British Airways,tuvwxyza@web.info,"Nottingham, UK",104.248.169.251,High amount,83,Under Review
AL4282,CD444,xxxx-xxxx-xxxx-4444,05/2031,FUZ973,Subscription,1.23,Jaguar Land Rover,bcdefghijk@domain.co.uk,"Accra, Ghana",134.238.184.178,Foreign location,10,Fraud Detected
AL4283,EF666,xxxx-xxxx-xxxx-6666,12/2023,RGD727,Telephone,0,Next Plc,lmnopqrstu@example.com,"Newcastle, UK",136.226.102.90,Suspicious zero amount attempt,98,Escalated
AL4284,GH888,xxxx-xxxx-xxxx-8888,07/2029,NMO710,In store,567.89,Marks & Spencer,vwxyzabcdef@test.org,"Coventry, UK",185.220.100.240,Abnormal spending pattern,64,Investigating
AL4285,IJ000,xxxx-xxxx-xxxx-0000,01/2033,EPX770,POS,16000,JD Sports,ghijklmnopqrst@mail.net,"Liverpool, UK",185.220.101.7,High amount,80,Resolved
AL4286,KL111,xxxx-xxxx-xxxx-1111,08/2027,HIO754,ATM,9.87,Greggs,uvwxyzabcdefg@web.info,"Rome, Italy",192.42.116.198,Low value foreign,19,Fraud Detected
AL4287,MN222,xxxx-xxxx-xxxx-2222,03/2030,FRY195,Wallet,0,Whitbread,hijklmnopqrs@domain.co.uk,"London, UK",72.217.36.105,Suspicious zero amount attempt,99,Escalated
AL4288,OP333,xxxx-xxxx-xxxx-3333,10/2029,XNR336,Online,34.56,WPP,tuvwxyza@example.com,"Edinburgh, UK",107.189.8.56,Compromised card,56,Under Review
AL4289,QR444,xxxx-xxxx-xxxx-4444,05/2031,ZJI359,Subscription,18000,Sage Group,bcdefghijk@test.org,"Bristol, UK",104.135.196.55,High amount,87,Action Required
AL4290,ST555,xxxx-xxxx-xxxx-5555,12/2023,UZB480,Telephone,1.23,Experian,lmnopqrstu@mail.net,"Sydney, Australia",104.248.169.251,Foreign IP,11,Fraud Detected
AL4291,UV666,xxxx-xxxx-xxxx-6666,07/2029,APV629,In store,0,Persimmon,vwxyzabcdef@web.info,"Sheffield, UK",134.238.184.178,Suspicious zero amount attempt,92,Escalated
AL4292,WX777,xxxx-xxxx-xxxx-7777,01/2033,RHY866,POS,567.89,Taylor Wimpey,ghijklmnopqrst@domain.co.uk,"Birmingham, UK",136.226.102.90,No shopping history,44,Closed
AL4293,YZ888,xxxx-xxxx-xxxx-8888,08/2027,FYU761,ATM,19000,Barratt Developments,uvwxyzabcdefg@example.com,"Nottingham, UK",185.220.100.240,High amount,85,Investigating
AL4294,AB999,xxxx-xxxx-xxxx-9999,03/2030,UKU513,Wallet,9.87,Kingfisher Plc,hijklmnopqrs@test.org,"Rome, Italy",185.220.101.7,Low value foreign,14,Fraud Detected
AL4295,CD000,xxxx-xxxx-xxxx-0000,10/2029,FBV600,Online,0,Standard Chartered,tuvwxyza@mail.net,"Newcastle, UK",192.42.116.198,Suspicious zero amount attempt,95,Escalated
AL4296,EF111,xxxx-xxxx-xxxx-1111,05/2031,RSS050,Subscription,234.56,NatWest Group,bcdefghijk@web.info,"Coventry, UK",72.217.36.105,Abnormal spending pattern,61,Under Review
AL4297,GH222,xxxx-xxxx-xxxx-2222,12/2023,WWH510,Telephone,14000,Legal & General,lmnopqrstu@domain.co.uk,"Liverpool, UK",107.189.8.56,High amount,83,Action Required
AL4298,IJ333,xxxx-xxxx-xxxx-3333,07/2029,DTG816,In store,1.23,Prudential Plc,vwxyzabcdef@example.com,"Lagos, Nigeria",104.135.196.55,Foreign location,10,Fraud Detected
AL4299,KL444,xxxx-xxxx-xxxx-4444,01/2033,MRE501,POS,0,Aviva,ghijklmnopqrst@test.org,"London, UK",104.248.169.251,Suspicious zero amount attempt,94,Escalated
AL4300,MN555,xxxx-xxxx-xxxx-5555,08/2027,WKX518,ATM,567.89,RSA Insurance Group,uvwxyzabcdefg@mail.net,"Edinburgh, UK",134.238.184.178,Compromised card,50,Investigating
AL4301,OP666,xxxx-xxxx-xxxx-6666,03/2030,VPW374,Wallet,16000,Centrica,hijklmnopqrs@web.info,"Bristol, UK",136.226.102.90,High amount,89,Action Required
AL4302,QR777,xxxx-xxxx-xxxx-7777,10/2029,TPR368,Online,9.87,SSE,tuvwxyza@domain.co.uk,"Milan, Italy",185.220.100.240,Low value foreign,12,Fraud Detected
AL4303,ST888,xxxx-xxxx-xxxx-8888,05/2031,RQN493,Subscription,0,National Express,bcdefghijk@example.com,"Sheffield, UK",185.220.101.7,Suspicious zero amount attempt,91,Escalated
AL4304,UV999,xxxx-xxxx-xxxx-9999,12/2023,LUJ699,Telephone,234.56,Go-Ahead Group,lmnopqrstu@test.org,"Birmingham, UK",192.42.116.198,No shopping history,38,Cleared
AL4305,WX000,xxxx-xxxx-xxxx-0000,07/2029,TCU319,In store,18000,Stagecoach Group,vwxyzabcdef@mail.net,"Nottingham, UK",72.217.36.105,High amount,86,Resolved
AL4306,YZ111,xxxx-xxxx-xxxx-1111,01/2033,CJG739,POS,1.23,FirstGroup,ghijklmnopqrst@web.info,"Rome, Italy",107.189.8.56,Low value foreign,10,Fraud Detected
AL4307,AB234,xxxx-xxxx-xxxx-2345,08/2027,OEX435,ATM,0,SSP Group,uvwxyzabcdefg@domain.co.uk,"Newcastle, UK",104.135.196.55,Suspicious zero amount attempt,90,Escalated
AL4308,CD567,xxxx-xxxx-xxxx-5678,03/2030,OYT814,Wallet,567.89,Mitchells & Butlers,hijklmnopqrs@example.com,"Coventry, UK",104.248.169.251,Abnormal spending pattern,62,Investigating
AL4309,EF890,xxxx-xxxx-xxxx-8901,10/2029,EMX789,Online,19000,Domino's Pizza Group,tuvwxyza@test.org,"Liverpool, UK",134.238.184.178,High amount,85,Action Required
AL4310,GH123,xxxx-xxxx-xxxx-1234,05/2031,JOG614,Subscription,9.87,Just Eat Takeaway,bcdefghijk@mail.net,"Sydney, Australia",136.226.102.90,Foreign IP,19,Fraud Detected
AL4311,IJ456,xxxx-xxxx-xxxx-4567,12/2023,BHO741,Telephone,0,Deliveroo,lmnopqrstu@web.info,"London, UK",185.220.100.240,Suspicious zero amount attempt,96,Escalated
AL4312,KL789,xxxx-xxxx-xxxx-7890,07/2029,INE243,In store,234.56,Ocado Group,vwxyzabcdef@domain.co.uk,"Edinburgh, UK",185.220.101.7,Compromised card,54,Under Review
AL4313,MN012,xxxx-xxxx-xxxx-0123,01/2033,WJC293,POS,14000,ASOS,ghijklmnopqrst@example.com,"Bristol, UK",192.42.116.198,High amount,81,Investigating
AL4314,OP345,xxxx-xxxx-xxxx-3456,08/2027,FDS730,ATM,1.23,Boohoo Group,uvwxyzabcdefg@test.org,"Milan, Italy",72.217.36.105,Low value foreign,10,Fraud Detected
AL4315,QR678,xxxx-xxxx-xxxx-6789,03/2030,XAK827,Wallet,0,Hargreaves Lansdown,hijklmnopqrs@mail.net,"Sheffield, UK",107.189.8.56,Suspicious zero amount attempt,93,Escalated
AL4316,ST901,xxxx-xxxx-xxxx-9012,10/2029,FST547,Online,567.89,Abrdn,tuvwxyza@web.info,"Birmingham, UK",104.135.196.55,Abnormal spending pattern,63,Under Review
AL4317,UV234,xxxx-xxxx-xxxx-2345,05/2031,ZWF907,Subscription,16000,M&G Plc,bcdefghijk@domain.co.uk,"Nottingham, UK",104.248.169.251,High amount,88,Resolved
AL4318,WX567,xxxx-xxxx-xxxx-5678,12/2023,NVZ726,Telephone,9.87,Phoenix Group Holdings,lmnopqrstu@example.com,"Rome, Italy",134.238.184.178,Low value foreign,15,Fraud Detected
AL4319,YZ890,xxxx-xxxx-xxxx-8901,07/2029,HLC545,In store,0,Intermediate Capital Group,vwxyzabcdef@test.org,"Newcastle, UK",136.226.102.90,Suspicious zero amount attempt,97,Escalated
AL4320,AB111,xxxx-xxxx-xxxx-1111,01/2033,HWS147,POS,234.56,Schroders,ghijklmnopqrst@mail.net,"Coventry, UK",185.220.100.240,Compromised card,58,Under Review
AL4321,CD222,xxxx-xxxx-xxxx-2222,08/2027,YGW094,ATM,18000,F&C Investment Trust,uvwxyzabcdefg@web.info,"Liverpool, UK",185.220.101.7,High amount,84,Action Required
AL4322,EF333,xxxx-xxxx-xxxx-3333,03/2030,IAZ507,Wallet,1.23,Scottish Mortgage Investment Trust,hijklmnopqrs@domain.co.uk,"Adelaide, Australia",192.42.116.198,Foreign location,11,Fraud Detected
AL4323,GH444,xxxx-xxxx-xxxx-4444,10/2029,SAQ761,Online,0,Alliance Trust,tuvwxyza@example.com,"London, UK",72.217.36.105,Suspicious zero amount attempt,90,Escalated
AL4324,IJ555,xxxx-xxxx-xxxx-5555,05/2031,SNW251,Subscription,567.89,Tesco,bcdefghijk@test.org,"Edinburgh, UK",107.189.8.56,Abnormal spending pattern,65,Investigating
AL4325,KL666,xxxx-xxxx-xxxx-6666,12/2023,GIF141,Telephone,19000,Sainsbury's,lmnopqrstu@mail.net,"Bristol, UK",104.135.196.55,High amount,89,Action Required
AL4326,MN777,xxxx-xxxx-xxxx-7777,07/2029,GLC990,In store,9.87,Barclays,vwxyzabcdef@web.info,"Rome, Italy",104.248.169.251,Low value foreign,12,Fraud Detected
AL4327,OP888,xxxx-xxxx-xxxx-8888,01/2033,XZP335,POS,0,Lloyds Bank,ghijklmnopqrst@domain.co.uk,"Sheffield, UK",134.238.184.178,Suspicious zero amount attempt,94,Escalated
AL4328,QR999,xxxx-xxxx-xxxx-9999,08/2027,ADJ730,ATM,234.56,HSBC,uvwxyzabcdefg@example.com,"Birmingham, UK",136.226.102.90,No shopping history,42,Closed
AL4329,ST000,xxxx-xxxx-xxxx-0000,03/2030,KND063,Wallet,14000,BT Group,hijklmnopqrs@test.org,"Nottingham, UK",185.220.100.240,High amount,83,Under Review
AL4330,UV121,xxxx-xxxx-xxxx-1212,10/2029,QAH505,Online,1.23,Vodafone,tuvwxyza@mail.net,"Lagos, Nigeria",185.220.101.7,Foreign IP,10,Fraud Detected
AL4331,WX343,xxxx-xxxx-xxxx-3434,05/2031,XCM632,Subscription,0,BP,bcdefghijk@web.info,"Newcastle, UK",192.42.116.198,Suspicious zero amount attempt,91,Escalated
AL4332,YZ565,xxxx-xxxx-xxxx-5656,12/2023,UJT463,Telephone,567.89,Shell,lmnopqrstu@domain.co.uk,"Coventry, UK",72.217.36.105,Compromised card,59,Under Review
AL4333,AB787,xxxx-xxxx-xxxx-7878,07/2029,FIZ656,In store,16000,Unilever,vwxyzabcdef@example.com,"Liverpool, UK",107.189.8.56,High amount,86,Resolved
AL4334,CD909,xxxx-xxxx-xxxx-9090,01/2033,KFX664,POS,9.87,GlaxoSmithKline,ghijklmnopqrst@test.org,"Rome, Italy",104.135.196.55,Low value foreign,14,Fraud Detected
AL4335,EF131,xxxx-xxxx-xxxx-1313,08/2027,SVV212,ATM,0,AstraZeneca,uvwxyzabcdefg@mail.net,"London, UK",104.248.169.251,Suspicious zero amount attempt,95,Escalated
AL4336,GH353,xxxx-xxxx-xxxx-3535,03/2030,GYU627,Wallet,234.56,Rio Tinto,hijklmnopqrs@web.info,"Edinburgh, UK",134.238.184.178,Abnormal spending pattern,61,Investigating
AL4337,IJ575,xxxx-xxxx-xxxx-5757,10/2029,YGT367,Online,18000,BHP Group,tuvwxyza@domain.co.uk,"Bristol, UK",136.226.102.90,High amount,87,Action Required
AL4338,KL797,xxxx-xxxx-xxxx-7979,05/2031,QWG255,Subscription,1.23,Diageo,bcdefghijk@example.com,"Sydney, Australia",185.220.100.240,Foreign location,11,Fraud Detected
AL4339,MN919,xxxx-xxxx-xxxx-9191,12/2023,UFJ130,Telephone,0,Reckitt Benckiser,lmnopqrstu@test.org,"Sheffield, UK",185.220.101.7,Suspicious zero amount attempt,98,Escalated
AL4340,OP101,xxxx-xxxx-xxxx-1010,07/2029,FLG420,In store,567.89,London Stock Exchange,vwxyzabcdef@mail.net,"Birmingham, UK",192.42.116.198,No shopping history,43,Cleared
AL4341,QR323,xxxx-xxxx-xxxx-3232,01/2033,WUZ223,POS,19000,National Grid,ghijklmnopqrst@web.info,"Nottingham, UK",72.217.36.105,High amount,84,Action Required
AL4342,ST545,xxxx-xxxx-xxxx-5454,08/2027,SNN157,ATM,9.87,Severn Trent,uvwxyzabcdefg@domain.co.uk,"Rome, Italy",107.189.8.56,Low value foreign,15,Fraud Detected
AL4343,UV767,xxxx-xxxx-xxxx-7676,03/2030,BBG933,Wallet,0,United Utilities,hijklmnopqrs@example.com,"Newcastle, UK",104.135.196.55,Suspicious zero amount attempt,90,Escalated
AL4344,WX989,xxxx-xxxx-xxxx-9898,10/2029,LMT713,Online,234.56,Rolls-Royce,tuvwxyza@test.org,"Coventry, UK",104.248.169.251,Abnormal spending pattern,62,Investigating
AL4345,YZ000,xxxx-xxxx-xxxx-0000,05/2031,UQS951,Subscription,14000,BAE Systems,bcdefghijk@mail.net,"Liverpool, UK",134.238.184.178,High amount,85,Resolved
AL4346,AB222,xxxx-xxxx-xxxx-2222,12/2023,ROH228,Telephone,1.23,ITV,lmnopqrstu@web.info,"Lagos, Nigeria",136.226.102.90,Foreign location,10,Fraud Detected
AL4347,CD444,xxxx-xxxx-xxxx-4444,07/2029,JAP333,In store,0,BBC Studios,vwxyzabcdef@domain.co.uk,"London, UK",185.220.100.240,Suspicious zero amount attempt,96,Escalated
AL4348,EF666,xxxx-xxxx-xxxx-6666,01/2033,LCE398,POS,567.89,Royal Mail,ghijklmnopqrst@example.com,"Edinburgh, UK",185.220.101.7,Compromised card,54,Under Review
AL4349,GH888,xxxx-xxxx-xxxx-8888,08/2027,VRZ075,ATM,16000,EasyJet,uvwxyzabcdefg@test.org,"Bristol, UK",192.42.116.198,High amount,81,Investigating
AL4350,IJ000,xxxx-xxxx-xxxx-0000,03/2030,BFT655,Wallet,9.87,Ryanair,hijklmnopqrs@mail.net,"Rome, Italy",72.217.36.105,Low value foreign,12,Fraud Detected
